channel_id,rel_x,rel_y,ccf_ap,ccf_dv,ccf_ml,region_id,acronym
99,790.0,1815.0,9446.91869416822,2589.560774182362,5799.342266194181,795,PAG
100,758.0,1830.0,9444.6387075843,2573.8461064668236,5767.769320817366,795,PAG
101,790.0,1830.0,9444.6387075843,2574.7408613868815,5799.75680920944,795,PAG
102,758.0,1845.0,9442.35872100038,2559.026193671343,5768.183863832624,795,PAG
103,790.0,1845.0,9442.35872100038,2559.920948591401,5800.171352224698,795,PAG
104,758.0,1860.0,9440.07873441646,2544.2062808758624,5768.598406847883,795,PAG
105,790.0,1860.0,9440.07873441646,2545.1010357959203,5800.585895239956,795,PAG
106,758.0,1875.0,9437.79874783254,2529.386368080382,5769.012949863141,795,PAG
107,790.0,1875.0,9437.79874783254,2530.28112300044,5801.000438255214,795,PAG
108,758.0,1890.0,9435.518761248619,2514.5664552849016,5769.4274928784,795,PAG
109,790.0,1890.0,9435.518761248619,2515.4612102049596,5801.414981270473,795,PAG
110,758.0,1905.0,9433.2387746647,2499.7465424894212,5769.842035893656,795,PAG
111,790.0,1905.0,9433.2387746647,2500.641297409479,5801.82952428573,795,PAG
112,758.0,1920.0,9430.95878808078,2484.926629693941,5770.256578908915,795,PAG
113,790.0,1920.0,9430.95878808078,2485.821384613999,5802.244067300989,795,PAG
114,758.0,1935.0,9428.678801496859,2470.1067168984605,5770.671121924173,795,PAG
115,790.0,1935.0,9428.678801496859,2471.0014718185184,5802.658610316247,795,PAG
116,758.0,1950.0,9426.39881491294,2455.28680410298,5771.085664939432,795,PAG
117,790.0,1950.0,9426.39881491294,2456.181559023038,5803.073153331506,795,PAG
118,758.0,1965.0,9424.11882832902,2440.4668913074997,5771.50020795469,795,PAG
119,790.0,1965.0,9424.11882832902,2441.3616462275577,5803.487696346763,795,PAG
120,758.0,1980.0,9421.838841745099,2425.6469785120194,5771.914750969949,795,PAG
121,790.0,1980.0,9421.838841745099,2426.5417334320773,5803.902239362022,795,PAG
122,758.0,1995.0,9419.55885516118,2410.827065716539,5772.329293985207,795,PAG
123,790.0,1995.0,9419.55885516118,2411.721820636597,5804.31678237728,795,PAG
124,758.0,2010.0,9417.27886857726,2396.007152921058,5772.743837000464,795,PAG
125,790.0,2010.0,9417.27886857726,2396.901907841116,5804.731325392538,795,PAG
126,758.0,2025.0,9414.998881993339,2381.187240125578,5773.158380015722,795,PAG
127,790.0,2025.0,9414.998881993339,2382.0819950456357,5805.145868407796,795,PAG
128,758.0,2040.0,9412.71889540942,2366.3673273300974,5773.572923030981,795,PAG
129,790.0,2040.0,9412.71889540942,2367.2620822501553,5805.560411423055,795,PAG
130,758.0,2055.0,9410.4389088255,2351.547414534617,5773.987466046239,795,PAG
131,790.0,2055.0,9410.4389088255,2352.442169454675,5805.974954438313,795,PAG
132,758.0,2070.0,9408.158922241579,2336.727501739136,5774.402009061498,795,PAG
133,790.0,2070.0,9408.158922241579,2337.622256659194,5806.389497453571,795,PAG
134,758.0,2085.0,9405.878935657658,2321.907588943656,5774.816552076756,795,PAG
135,790.0,2085.0,9405.878935657658,2322.8023438637138,5806.804040468829,795,PAG
136,758.0,2100.0,9403.59894907374,2307.0876761481754,5775.231095092015,795,PAG
137,790.0,2100.0,9403.59894907374,2307.9824310682334,5807.2185834840875,795,PAG
138,758.0,2115.0,9401.318962489819,2292.267763352695,5775.645638107271,42,SCdw
139,790.0,2115.0,9401.318962489819,2293.162518272753,5807.633126499345,42,SCdw
140,758.0,2130.0,9399.038975905898,2277.4478505572147,5776.06018112253,42,SCdw
141,790.0,2130.0,9399.038975905898,2278.3426054772726,5808.0476695146035,42,SCdw
142,758.0,2145.0,9396.75898932198,2262.6279377617343,5776.474724137788,42,SCdw
